name,sku,price,cost,stock,min_stock,category
"NIVEAU LASER CROWN CT44150 30M (نيفو ليزر كراون 30 متر)","CT44150",0,0,0,5,"Quincaillerie & Outillage"
"NIVEAU LASER CROWN CT44091 16 LIGNES 30M (نيفو ليزر كراون 16 خط 30 متر)","CT44091",0,0,0,5,"Quincaillerie & Outillage"
"NIVEAU LASER FIX TOPE 16 LIGNES (نيفو ليزر فيكس طوب 16 خط)","NLR-16",0,0,0,5,"Quincaillerie & Outillage"
"CHEVILLE METALLIQUE M6 (شوفي ميتاليك 6)","CHEV-M6",0,0,0,5,"Quincaillerie & Placo"
"CHEVILLE METALLIQUE M8 (شوفي ميتاليك 8)","CHEV-M8",0,0,0,5,"Quincaillerie & Placo"
"SPOT SAMSUNG 10W 3D (سبوت سامسونغ 10 واط 3 دي)","18386",0,0,0,5,"Électricité & Éclairage"
"LAMPE 11W LED WELLMAX (لامبة 11 واط ليد ويلماكس)","LMPW11W",0,0,0,5,"Électricité & Éclairage"
"LAMPE 13W WELLMAX (لامبة 13 واط ويلماكس)","13314",0,0,0,5,"Électricité & Éclairage"
"TIGE FILETEE N°06 (تيج فيلتي رقم 6)","TIG-F06",0,0,0,5,"Quincaillerie & Placo"
"TIGE FILETEE N°08 (تيج فيلتي رقم 8)","TIG-F08",0,0,0,5,"Quincaillerie & Placo"
"LA FARGE PATE A JOINT BLANC 5KG (لافارج باط أ جوان أبيض 5 كغ)","5406",0,0,0,5,"Peinture & Enduits"
"MIDY LAQUE BLEU CIEL 700G (ميدي لاك أزرق سماوي 700 غ)","9320",0,0,0,5,"Peinture & Enduits"
"MIDY LAQUE JAUNE 700G (ميدي لاك أصفر 700 غ)","9321",0,0,0,5,"Peinture & Enduits"
"COLLE SILICONE PROSEAL NACISIL TRANSPARENT (كول سيليكون بروسيل ترونسبارو)","PRO-SIL-TR",0,0,0,5,"Droguerie & Mastics"
"COLLE SILICONE PROSEAL NACISIL BLANC (كول سيليكون بروسيل أبيض)","PRO-SIL-BL",0,0,0,5,"Droguerie & Mastics"
"SOUKOY SKY PRISE SIMPLE (سوكوي سكاي بريز سامبل)","SASKPS",0,0,0,5,"Électricité & Éclairage"
"SOUKOY SKY INTERRUPTEUR SIMPLE (سوكوي سكاي أنتربتور سامبل)","SASKSA",0,0,0,5,"Électricité & Éclairage"
"SOUKOY SKY INTERRUPTEUR VA ET VIENT (سوكوي سكاي فافيانت)","SASKVV",0,0,0,5,"Électricité & Éclairage"
"GOULOTTE PVC 12X12 (قولوط بلاستيك 12/12)","GOUL-1212",0,0,0,5,"Électricité & Éclairage"
"GOULOTTE PVC 16X16 (قولوط بلاستيك 16/16)","GOUL-1616",0,0,0,5,"Électricité & Éclairage"
"GOULOTTE PVC 25X16 (قولوط بلاستيك 25/16)","GOUL-2516",0,0,0,5,"Électricité & Éclairage"
"GOULOTTE PVC 40X25 (قولوط بلاستيك 40/25)","GOUL-4025",0,0,0,5,"Électricité & Éclairage"
"GRILLE D'AERATION 10X10 (قري دايراسيون 10/10)","GRL-AER-10",0,0,0,5,"Quincaillerie & Placo"
"GRILLE D'AERATION 15X15 (قري دايراسيون 15/15)","GRL-AER-15",0,0,0,5,"Quincaillerie & Placo"
"DOUILLE E27 A VIS (دوي أ فيس 27)","DOUILLE-E27",0,0,0,5,"Électricité & Éclairage"
"TRINGLE MIMOZA 2.10M BLANC (ترانغل ميموزا 2.10م أبيض)","TR-MIM-210-BL",0,0,0,5,"Quincaillerie & Placo"
"TRINGLE MIMOZA 2.10M NOIR (ترانغل ميموزا 2.10م أسود)","TR-MIM-210-NR",0,0,0,5,"Quincaillerie & Placo"
"TRINGLE MIMOZA 2.10M BRONZE (ترانغل ميموزا 2.10م برونز)","TR-MIM-210-BZ",0,0,0,5,"Quincaillerie & Placo"
"CABLE SOUPLE 2X2.5 EL WAFAA (كابل سوبل 2*2.5 الوفاء)","CAB-2X25-ELW",0,0,0,5,"Électricité & Éclairage"
"BOULON 8X20 AVEC ECROU (بولون 8*20 مع لكرو)","BOUL-820",0,0,0,5,"Quincaillerie & Placo"
"FIL ELECTRIQUE 1.5 MOSTA (خيط تريسيتي 1.5 مستغانم)","FIL-15-MOSTA",0,0,0,5,"Électricité & Éclairage"
"FIL ELECTRIQUE 2.5 MOSTA (خيط تريسيتي 2.5 مستغانم)","FIL-25-MOSTA",0,0,0,5,"Électricité & Éclairage"
"CABLE 2X6 SETIF (كابل تريسيتي 2*6 سطيف)","CAB-2X6-SETIF",0,0,0,5,"Électricité & Éclairage"
"ECROU N°05 (إكرو رقم 5)","ECROU-N05",0,0,0,5,"Quincaillerie & Placo"
"ECROU N°06 (إكرو رقم 6)","ECROU-N06",0,0,0,5,"Quincaillerie & Placo"
"ECROU N°08 (إكرو رقم 8)","ECROU-N08",0,0,0,5,"Quincaillerie & Placo"
"SERRURE SMTOP SM23 120 (قفل سيرير أس أم طوب 120)","SM23-120",0,0,0,5,"Quincaillerie & Outillage"
"SERRURE SMTOP SM27 C/S (قفل سيرير أس أم طوب 27)","SM27-CS",0,0,0,5,"Quincaillerie & Outillage"
"LAMPE RECHARGEABLE SAMSUNG 9W (لامبة روشارجابل سامسونغ 9 واط)","LMP-SAMS-9W-REC",0,0,0,5,"Électricité & Éclairage"
"LAMPE RECHARGEABLE SAMSUNG 11W (لامبة روشارجابل سامسونغ 11 واط)","LMP-SAMS-11W-REC",0,0,0,5,"Électricité & Éclairage"
"LAMPE RECHARGEABLE SAMSUNG 13W (لامبة روشارجابل سامسونغ 13 واط)","LMP-SAMS-13W-REC",0,0,0,5,"Électricité & Éclairage"
"LAMPE RECHARGEABLE SAMSUNG 18W (لامبة روشارجابل سامسونغ 18 واط)","LMP-SAMS-18W-REC",0,0,0,5,"Électricité & Éclairage"
"MOUSSE SELSIL 750ML (موس سيلسيل 750 مل)","21029",0,0,0,5,"Droguerie & Mastics"
"TELERUPTEUR CHINT 16A (تيليريبتور شانت 16 أمبير)","TELERUP-CHINT-16A",0,0,0,5,"Électricité & Éclairage"
"COLLE SUPER GLUE + DURCISSEUR FAST WELD (سوبر قلو مع دورسيسور فاست ويلد)","GLUE-FASTWELD",0,0,0,5,"Droguerie & Mastics"
"ESCABEAU EULMA N°6 (سلم ألمنيوم العلمة 6 درجات)","ESCAB-EULMA-N6",0,0,0,5,"Quincaillerie & Outillage"
"ESCABEAU EULMA N°7 (سلم ألمنيوم العلمة 7 درجات)","ESCAB-EULMA-N7",0,0,0,5,"Quincaillerie & Outillage"
